,股票代码,1,是否超过,最高价
0,002131.XSHE,False,,
1,300070.XSHE,True,13.95,14.07
2,002169.XSHE,False,,
3,600048.XSHG,False,,
4,300168.XSHE,False,,
5,603979.XSHG,True,8.89,9.18
6,600649.XSHG,False,,
7,002544.XSHE,False,,
8,603686.XSHG,False,,
9,603218.XSHG,False,,
10,300059.XSHE,True,13.82,13.9
11,600096.XSHG,True,5.28,5.4
12,300296.XSHE,True,13.57,13.78
13,601155.XSHG,False,,
14,000826.XSHE,True,17.9,17.99
15,002271.XSHE,False,,
16,000002.XSHE,False,,
17,000959.XSHE,False,,
18,601016.XSHG,False,,
19,002717.XSHE,True,10.6,11.2
20,600585.XSHG,True,36.58,38.4
21,002097.XSHE,True,6.85,6.94
22,000708.XSHE,False,,
23,600383.XSHG,False,,
24,300355.XSHE,False,,
25,002372.XSHE,False,,
26,000012.XSHE,False,,
27,600808.XSHG,False,,
28,000985.XSHE,False,,
29,600581.XSHG,False,,
30,600019.XSHG,False,,
31,300737.XSHE,False,,
32,600507.XSHG,True,11.89,11.96
